"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","MaritalStatus","OverTime","Age_Group","DRate_Group","DistanceFromHome_Group","Education_Group","EmployeeNumber_Group","EnvironmentSat_Group","HourlyRate_Group","JobInvolvement_Group","JobLevel_Group","JobSatisfaction_Group","MonthlyIncome_Group","MonthlyRate_Group","NumCompaniesWorked_Group","PercentSalaryHike_Group","PerformanceRating_Group","RelationshipSatisfaction_Group","StockOptionLevel_Group","TotalWorkingYears_Group","TrainingTimesLastYear_Group","WorkLifeBalance_Group","YearsAtCompany_Group","YearsInCurrentRole_Group","YearsSinceLastPromotion_Group","YearsWithCurrManager_Group"
"31","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","No","young","low","short","1","medium","unsatisfactory","medium","4","1","unsatisfactory","low","high","large","[12,14)","3","3","0","[6,10)","[3,6]","2","[3,5)","[3,7)","[0,1)","[0,2)"
"32","Yes","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Single","Yes","mid","low","long","3","high","satisfactory","high","3","2","satisfactory","medium","medium","medium","[18,25]","3","4","0","[10,13)","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"33","No","Non-Travel","Research & Development","Medical","Female","Research Scientist","Divorced","Yes","mid","medium","medium","3","low","unsatisfactory","high","1","2","satisfactory","medium","medium","large","[12,14)","3","3","3","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"34","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Single","No","elder","low","medium","4","medium","satisfactory","medium","2","3","satisfactory","high","high","large","[14,18)","3","4","0","[13,28]","[3,6]","4","[9,40]","[7,18]","[1,15]","[3,7)"
"35","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Married","No","mid","high","long","3","medium","satisfactory","high","4","1","satisfactory","low","high","small","[14,18)","3","4","0","[0,6)","[3,6]","2","[0,3)","[0,2)","[0,1)","[0,2)"
"36","No","Travel_Rarely","Research & Development","Other","Male","Research Scientist","Single","Yes","mid","high","short","4","medium","satisfactory","high","2","1","unsatisfactory","low","low","large","[11,12)","3","2","0","[6,10)","[0,2)","3","[3,5)","[2,3)","[0,1)","[2,3)"
"37","No","Travel_Rarely","Human Resources","Human Resources","Male","Manager","Married","Yes","elder","low","long","4","high","satisfactory","medium","4","5","unsatisfactory","high","high","large","[18,25]","3","1","1","[10,13)","[0,2)","3","[9,40]","[7,18]","[1,15]","[3,7)"
"38","No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Married","No","mid","high","long","3","high","unsatisfactory","medium","3","1","unsatisfactory","medium","low","medium","[11,12)","3","1","1","[6,10)","[2,3)","1","[5,9)","[3,7)","[1,15]","[7,14]"
"39","No","Travel_Rarely","Human Resources","Life Sciences","Female","Human Resources","Married","No","young","high","long","1","low","satisfactory","medium","3","1","satisfactory","low","low","medium","[18,25]","4","4","1","[6,10)","[3,6]","3","[5,9)","[7,18]","[1,15]","[7,14]"
"40","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Divorced","Yes","young","high","long","2","high","satisfactory","high","3","2","satisfactory","high","high","medium","[11,12)","3","4","1","[6,10)","[2,3)","3","[5,9)","[2,3)","[1,15]","[3,7)"
"41","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Divorced","No","elder","medium","short","2","high","satisfactory","high","3","3","satisfactory","high","high","large","[14,18)","3","3","1","[10,13)","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"42","No","Travel_Rarely","Human Resources","Life Sciences","Male","Manager","Single","No","elder","low","medium","4","medium","satisfactory","high","3","5","unsatisfactory","high","low","large","[14,18)","3","1","0","[10,13)","[3,6]","3","[5,9)","[3,7)","[1,15]","[7,14]"
"43","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Single","No","young","low","short","3","low","satisfactory","low","1","2","satisfactory","medium","high","medium","[18,25]","4","3","0","[10,13)","[2,3)","3","[5,9)","[3,7)","[0,1)","[2,3)"
"44","Yes","Travel_Frequently","Sales","Other","Male","Sales Executive","Single","Yes","mid","medium","long","4","high","satisfactory","low","3","2","satisfactory","medium","medium","large","[18,25]","4","1","0","[13,28]","[2,3)","4","[9,40]","[7,18]","[1,15]","[7,14]"
"45","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","Married","No","elder","medium","long","4","high","unsatisfactory","medium","2","4","unsatisfactory","high","low","small","[18,25]","4","3","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[0,1)","[7,14]"
"46","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Divorced","Yes","elder","high","long","4","low","satisfactory","medium","2","5","satisfactory","high","low","medium","[14,18)","3","3","1","[10,13)","[3,6]","3","[9,40]","[7,18]","[0,1)","[7,14]"
"47","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Single","Yes","mid","low","medium","5","high","satisfactory","medium","3","2","satisfactory","medium","high","medium","[14,18)","3","1","0","[13,28]","[3,6]","3","[0,3)","[0,2)","[0,1)","[0,2)"
"48","Yes","Travel_Rarely","Research & Development","Technical Degree","Female","Research Director","Married","No","elder","high","long","3","low","unsatisfactory","low","3","5","satisfactory","high","medium","medium","[12,14)","3","4","0","[13,28]","[0,2)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"49","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","Divorced","No","elder","medium","long","3","low","unsatisfactory","medium","2","4","unsatisfactory","high","low","medium","[11,12)","3","3","1","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[7,14]"
"50","No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","Single","No","mid","low","long","2","low","unsatisfactory","medium","2","2","satisfactory","low","medium","large","[14,18)","3","4","0","[6,10)","[3,6]","3","[3,5)","[2,3)","[0,1)","[2,3)"
"51","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Single","Yes","elder","medium","long","2","low","satisfactory","high","4","2","unsatisfactory","high","high","large","[12,14)","3","3","0","[10,13)","[0,2)","3","[3,5)","[2,3)","[0,1)","[2,3)"
"52","Yes","Travel_Frequently","Research & Development","Technical Degree","Male","Research Scientist","Single","No","young","medium","short","1","low","satisfactory","medium","3","1","unsatisfactory","low","low","small","[18,25]","4","3","0","[6,10)","[2,3)","3","[5,9)","[3,7)","[0,1)","[3,7)"
"53","No","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Married","No","mid","low","medium","3","medium","unsatisfactory","high","2","1","unsatisfactory","low","medium","small","[18,25]","3","4","1","[0,6)","[3,6]","3","[0,3)","[2,3)","[1,15]","[2,3)"
"54","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manager","Married","No","elder","high","long","4","low","unsatisfactory","high","2","4","satisfactory","high","low","small","[14,18)","3","2","1","[13,28]","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"55","No","Travel_Rarely","Research & Development","Medical","Female","Manager","Divorced","Yes","mid","low","medium","4","medium","satisfactory","high","2","4","unsatisfactory","high","medium","large","[12,14)","3","4","2","[13,28]","[3,6]","3","[9,40]","[7,18]","[1,15]","[2,3)"
"56","No","Travel_Rarely","Research & Development","Technical Degree","Male","Research Scientist","Married","No","elder","low","short","3","high","unsatisfactory","medium","3","1","satisfactory","low","low","large","[12,14)","3","3","1","[13,28]","[2,3)","2","[5,9)","[3,7)","[1,15]","[2,3)"
"57","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Married","Yes","mid","high","medium","3","high","satisfactory","medium","3","3","satisfactory","high","high","medium","[12,14)","3","4","3","[6,10)","[3,6]","3","[5,9)","[3,7)","[1,15]","[0,2)"
"58","Yes","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","Divorced","No","young","high","long","3","medium","unsatisfactory","low","3","1","satisfactory","low","high","medium","[18,25]","4","3","1","[0,6)","[0,2)","2","[0,3)","[0,2)","[0,1)","[0,2)"
"59","No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Single","No","mid","medium","long","4","medium","satisfactory","high","2","1","satisfactory","low","low","medium","[14,18)","3","3","0","[6,10)","[3,6]","3","[5,9)","[2,3)","[1,15]","[3,7)"
"60","No","Travel_Frequently","Research & Development","Technical Degree","Male","Healthcare Representative","Married","No","mid","medium","long","4","high","satisfactory","high","2","2","satisfactory","medium","medium","medium","[14,18)","3","2","1","[6,10)","[3,6]","2","[5,9)","[2,3)","[1,15]","[7,14]"
"61","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married","No","elder","low","long","2","high","satisfactory","high","3","2","unsatisfactory","medium","medium","medium","[14,18)","3","3","1","[0,6)","[2,3)","3","[5,9)","[3,7)","[1,15]","[2,3)"
"62","No","Travel_Rarely","Sales","Medical","Male","Sales Representative","Married","No","young","medium","long","1","low","unsatisfactory","low","3","1","satisfactory","low","high","medium","[11,12)","3","3","0","[6,10)","[0,2)","3","[5,9)","[3,7)","[0,1)","[3,7)"
"63","No","Travel_Frequently","Research & Development","Medical","Female","Manufacturing Director","Married","Yes","elder","low","long","2","high","satisfactory","medium","4","4","satisfactory","high","low","medium","[11,12)","3","2","1","[13,28]","[3,6]","2","[5,9)","[3,7)","[0,1)","[2,3)"
"64","No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","Single","Yes","elder","medium","medium","3","high","unsatisfactory","medium","2","2","satisfactory","medium","high","medium","[14,18)","3","1","0","[13,28]","[3,6]","1","[9,40]","[7,18]","[1,15]","[7,14]"
"65","No","Travel_Rarely","Research & Development","Other","Male","Manufacturing Director","Single","No","mid","medium","medium","3","medium","satisfactory","medium","3","3","satisfactory","high","high","large","[18,25]","4","2","0","[13,28]","[3,6]","4","[5,9)","[3,7)","[1,15]","[3,7)"
"66","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Married","No","mid","medium","long","4","high","unsatisfactory","medium","3","2","unsatisfactory","medium","medium","small","[14,18)","3","4","1","[6,10)","[2,3)","1","[5,9)","[3,7)","[0,1)","[3,7)"
"67","No","Travel_Rarely","Human Resources","Other","Male","Human Resources","Divorced","No","mid","high","medium","2","high","satisfactory","high","3","2","unsatisfactory","medium","medium","medium","[12,14)","3","3","0","[13,28]","[3,6]","2","[9,40]","[0,2)","[1,15]","[7,14]"
"68","No","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Single","No","young","low","medium","1","low","satisfactory","medium","3","1","unsatisfactory","low","medium","small","[14,18)","3","1","0","[0,6)","[3,6]","3","[3,5)","[2,3)","[1,15]","[2,3)"
"69","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manager","Married","No","elder","high","short","2","medium","satisfactory","medium","3","4","satisfactory","high","medium","medium","[14,18)","3","2","1","[13,28]","[2,3)","2","[9,40]","[7,18]","[1,15]","[7,14]"
"70","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Divorced","Yes","elder","low","long","2","low","satisfactory","high","4","3","satisfactory","high","high","large","[14,18)","3","2","1","[10,13)","[2,3)","1","[5,9)","[3,7)","[1,15]","[3,7)"
"71","Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Divorced","Yes","mid","low","long","4","medium","satisfactory","high","3","1","unsatisfactory","low","medium","medium","[18,25]","3","1","1","[10,13)","[3,6]","2","[9,40]","[2,3)","[1,15]","[7,14]"
"72","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Married","No","mid","medium","medium","3","medium","satisfactory","medium","4","2","satisfactory","medium","medium","medium","[14,18)","3","3","2","[10,13)","[3,6]","4","[9,40]","[7,18]","[0,1)","[7,14]"
"73","No","Non-Travel","Research & Development","Other","Female","Manufacturing Director","Divorced","No","young","medium","long","2","low","unsatisfactory","high","4","2","satisfactory","medium","low","small","[18,25]","3","4","1","[0,6)","[3,6]","2","[3,5)","[2,3)","[1,15]","[3,7)"
"74","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","Married","Yes","elder","medium","medium","4","medium","satisfactory","low","2","3","unsatisfactory","high","high","large","[18,25]","4","3","1","[13,28]","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"75","No","Travel_Frequently","Research & Development","Medical","Male","Manufacturing Director","Single","Yes","elder","high","short","1","high","unsatisfactory","high","3","3","satisfactory","high","high","large","[18,25]","3","2","0","[13,28]","[2,3)","2","[0,3)","[2,3)","[1,15]","[2,3)"
"76","No","Travel_Rarely","Research & Development","Other","Female","Research Scientist","Married","No","mid","medium","medium","4","high","unsatisfactory","low","4","1","satisfactory","low","high","large","[14,18)","3","4","2","[6,10)","[3,6]","3","[3,5)","[2,3)","[0,1)","[2,3)"
"77","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Married","No","elder","high","short","4","medium","satisfactory","low","2","3","satisfactory","high","low","large","[11,12)","3","2","1","[13,28]","[3,6]","3","[9,40]","[3,7)","[1,15]","[0,2)"
"78","Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married","No","young","medium","long","2","medium","satisfactory","high","3","1","unsatisfactory","low","low","medium","[12,14)","3","1","1","[0,6)","[3,6]","1","[0,3)","[0,2)","[0,1)","[0,2)"
"79","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","Married","No","young","high","short","3","low","unsatisfactory","high","2","2","unsatisfactory","high","low","medium","[18,25]","3","2","2","[10,13)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"80","No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","Divorced","No","mid","medium","medium","3","medium","satisfactory","medium","4","1","satisfactory","low","medium","medium","[11,12)","3","4","3","[0,6)","[2,3)","3","[3,5)","[2,3)","[0,1)","[3,7)"
"81","No","Non-Travel","Sales","Medical","Male","Sales Executive","Divorced","No","mid","low","medium","4","low","unsatisfactory","medium","3","3","unsatisfactory","high","high","medium","[12,14)","3","4","1","[6,10)","[3,6]","3","[9,40]","[3,7)","[1,15]","[7,14]"
"82","No","Travel_Rarely","Sales","Other","Male","Sales Executive","Single","No","mid","low","short","3","medium","satisfactory","medium","3","2","satisfactory","medium","medium","medium","[18,25]","4","3","0","[6,10)","[3,6]","3","[5,9)","[3,7)","[1,15]","[3,7)"
"83","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Single","No","mid","low","short","1","low","satisfactory","low","3","1","unsatisfactory","low","medium","large","[14,18)","3","4","0","[10,13)","[3,6]","2","[0,3)","[0,2)","[0,1)","[0,2)"
"84","No","Travel_Frequently","Sales","Marketing","Male","Sales Representative","Divorced","No","mid","low","medium","4","low","unsatisfactory","low","3","1","satisfactory","low","low","large","[14,18)","3","3","1","[13,28]","[2,3)","3","[9,40]","[7,18]","[1,15]","[7,14]"
"85","No","Travel_Frequently","Sales","Medical","Female","Sales Executive","Divorced","Yes","elder","low","short","3","medium","satisfactory","low","3","4","satisfactory","high","low","large","[12,14)","3","4","2","[13,28]","[2,3)","2","[9,40]","[2,3)","[1,15]","[7,14]"
"86","No","Non-Travel","Sales","Marketing","Male","Sales Executive","Married","No","mid","medium","long","2","low","satisfactory","high","3","2","unsatisfactory","medium","medium","small","[12,14)","3","1","1","[6,10)","[2,3)","4","[5,9)","[7,18]","[0,1)","[7,14]"
"87","Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Married","Yes","young","high","medium","3","medium","satisfactory","medium","4","1","unsatisfactory","low","low","medium","[18,25]","4","3","2","[0,6)","[2,3)","3","[0,3)","[0,2)","[0,1)","[0,2)"
"88","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Single","No","elder","medium","medium","3","medium","satisfactory","medium","3","3","satisfactory","high","medium","medium","[11,12)","3","3","0","[10,13)","[2,3)","3","[9,40]","[7,18]","[0,1)","[7,14]"
"89","No","Travel_Rarely","Research & Development","Medical","Male","Healthcare Representative","Single","No","young","high","long","2","low","unsatisfactory","medium","4","2","unsatisfactory","medium","low","small","[18,25]","3","3","0","[6,10)","[2,3)","3","[5,9)","[3,7)","[0,1)","[7,14]"
"90","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Single","No","young","medium","short","1","high","unsatisfactory","low","2","1","satisfactory","medium","low","small","[12,14)","3","4","0","[0,6)","[2,3)","3","[3,5)","[3,7)","[1,15]","[0,2)"
"91","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Married","No","mid","low","long","3","high","satisfactory","medium","3","2","unsatisfactory","medium","low","large","[18,25]","4","3","0","[6,10)","[3,6]","3","[5,9)","[3,7)","[1,15]","[0,2)"
"92","No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","Divorced","Yes","elder","high","medium","3","medium","satisfactory","low","2","3","unsatisfactory","high","low","medium","[12,14)","3","4","1","[13,28]","[3,6]","3","[5,9)","[0,2)","[0,1)","[3,7)"
"93","No","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Married","No","mid","high","long","3","medium","satisfactory","low","3","1","unsatisfactory","low","high","large","[12,14)","3","2","1","[6,10)","[2,3)","3","[5,9)","[2,3)","[0,1)","[3,7)"
"94","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Married","Yes","elder","medium","medium","2","medium","unsatisfactory","high","2","3","satisfactory","high","high","large","[18,25]","3","4","1","[10,13)","[3,6]","3","[5,9)","[2,3)","[0,1)","[3,7)"
"95","Yes","Non-Travel","Research & Development","Medical","Male","Research Scientist","Single","Yes","young","low","medium","2","medium","satisfactory","low","2","1","unsatisfactory","low","medium","small","[18,25]","4","1","0","[0,6)","[0,2)","3","[3,5)","[2,3)","[1,15]","[2,3)"
"96","Yes","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","Married","Yes","elder","medium","medium","4","medium","satisfactory","low","2","3","unsatisfactory","high","medium","large","[14,18)","3","4","0","[10,13)","[0,2)","2","[9,40]","[7,18]","[1,15]","[7,14]"
"97","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Married","No","mid","low","long","2","high","satisfactory","low","2","2","unsatisfactory","medium","medium","medium","[14,18)","3","3","2","[10,13)","[0,2)","1","[3,5)","[2,3)","[1,15]","[3,7)"
"98","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","Married","No","elder","medium","long","3","medium","unsatisfactory","high","3","2","unsatisfactory","medium","medium","medium","[12,14)","3","4","1","[10,13)","[3,6]","2","[9,40]","[7,18]","[1,15]","[7,14]"
"99","No","Travel_Rarely","Sales","Marketing","Male","Manager","Married","No","elder","medium","short","4","medium","satisfactory","low","2","4","unsatisfactory","high","low","medium","[11,12)","3","1","0","[10,13)","[3,6]","4","[9,40]","[3,7)","[1,15]","[3,7)"
"100","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","Married","Yes","elder","high","long","4","low","satisfactory","low","4","1","satisfactory","low","high","large","[12,14)","3","3","1","[10,13)","[3,6]","3","[5,9)","[7,18]","[1,15]","[7,14]"
"101","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","Married","No","mid","high","long","4","high","unsatisfactory","high","3","2","satisfactory","medium","low","large","[14,18)","3","2","2","[10,13)","[2,3)","2","[3,5)","[2,3)","[0,1)","[2,3)"
